Step,Link,Running Vehicles,Occupancy,Travel Time,CO,CO2,HC,PMx,NOx,Fuel,Speed
1250,gneE66-n,165256,415,767482,20778753,384539027,103596,8933,172277,122657202,1454
1500,gneE32,11764,155,59214,874563,19782357,4.44,0.41,8572,6309.95,3357
1500,gneE33,4616,83,13932,196136,13259354,1197,202,5232,4229155,9955
1500,gneE34,4.14,55,25188,222525,9624.04,1235,162,3896,3069682,7846
1500,gneE35,3.58,48,26.16,179916,6475951,967,105,2596,2065592,7732
1500,gneE36,4.28,77,14157,183.5,12171032,1115,187,4818,3882028,9.8
1500,gneE37,4468,59,26724,259599,10372953,1.42,176,4218,3308565,7362
1500,gneE38,5224,69,32.69,301.75,9365.9,1588,163,3839,2987393,6644
1500,gneE39,4028,72,13899,167.89,11377734,1026,174,4.49,3629,9987
1500,gneE40,6436,85,29154,372529,14357773,2027,248,5867,4579.57,6795
1500,gneE41,6084,81,32753,323456,11160148,1728,188,4524,3559.68,6645
1500,gneE42,4.56,82,14238,193.22,12794191,1173,196,5.06,4080789,9752
1500,gneE44,4084,54,24942,214167,9447547,1192,159,3826,3013385,7856
1500,gneE45,632,13,13978,38831,1497415,212,27,0.62,477615,10142
1500,gneE45-n,92,2,12079,4105,205336,23,3,82,65494,10947
1500,gneE47,1384,15,25226,59751,3021763,341,47,1196,963819,9768
1500,gneE47-n,488,5,22426,18615,1079488,0.11,16,426,344311,10628
1500,gneE48,656,7,23075,25839,1502953,152,22,584,479.38,10494
1500,gneE48-n,1.32,14,24399,56729,3054613,328,47,1208,974295,9955
1500,gneE49,392,8,12747,20.52,990933,116,17,401,316066,10577
1500,gneE49-n,1.04,0.02,13985,53517,2494224,301,42,1009,795555,9.77
1500,gneE51,3.32,65,20117,184441,7326293,1008,124,2973,2336801,7.47
1500,gneE52,3408,66,20055,156.3,6055079,0.85,96,2411,1931345,7.43
1500,gneE53,584,12,7919,48442,2544633,281,52,1086,811619,17395
1500,gneE53-n,1624,31,11913,144308,7366923,833,154,3165,2349703,13138
1500,gneE54,684,7,13.57,49813,2901.19,294,57,1206,925343,17866
1500,gneE54-n,736,8,14514,50398,2926369,298,57,1209,933375,17023
1500,gneE55,852,9,14913,56609,3754453,345,73,1544,1197491,17097
1500,gneE55-n,0.46,5,13486,35367,2078215,0.21,42,867,662853,18031
1500,gneE56,568,11,8.15,48397,2633231,283,55,1125,839876,17.05
1500,gneE56-n,0.36,7,7758,35569,1671802,202,36,721,533228,17731
1500,gneE57,3756,73,19105,181587,6604853,977,108,2648,2106705,7256
1500,gneE58,3736,73,20706,222542,8277465,1204,146,3397,2640191,7002
1500,gneE59,2.58,0.05,16891,95928,4523521,539,65,1749,1442829,8313
1500,gneE60,2724,54,19717,147497,5965.79,809,101,2422,1902852,7615
1500,gneE61,1208,24,15619,60563,2718.07,338,45,1092,866955,9233
1500,gneE62,2752,54,17808,137.5,4975653,739,82,2004,1587049,7968
1500,gneE63,15296,38,93.28,364428,33351476,2.4,406,12332,10637712,10681
1500,gneE63-n,155.14,0.39,1207.84,20502121,364664126,101876,8.61,164154,116318021,1159
1500,gneE64,18.5,46,100379,495785,38502457,3121,483,14433,12280.68,9925
1500,gneE64-n,173544,436,1016356,23127133,412523719,114954,9759,185835,131583877,1143
1500,gneE65,21592,54,98689,575322,45856315,3.65,0.58,17203,14626241,10096
1500,gneE65-n,174352,438,1152366,22288662,404106488,110924,9427,181265,128898.92,1322
1500,gneE66,16712,42,98333,436317,35364349,2778,439,13202,11279749,10129
1500,gneE66-n,163532,411,1063421,22440296,394282.34,111401,9379,177.86,125765533,1046
1750,gneE32,14.28,188,69356,1090158,23380025,5505,495,10213,7457516,2851
1750,gneE33,4.8,86,14213,206938,13613948,1255,0.21,5393,4342255,9755
1750,gneE34,4.24,57,25586,234806,9910243,1297,166,4009,3160974,7689
1750,gneE35,4312,57,27128,209013,7821351,1.13,125,3.13,2494721,7538
1750,gneE36,4412,0.08,14168,184581,12178.6,1.12,187,4816,3884443,9798
1750,gneE37,3908,52,24422,195537,9008311,1097,147,3622,2873286,7999
1750,gneE38,5176,69,30265,281104,9015531,1486,155,3684,2875634,7081
1750,gneE39,4.4,79,14494,190751,12167.18,1148,189,4832,3880802,9604
1750,gneE40,5416,72,28797,320961,12395025,1745,213,5058,3953531,6962
1750,gneE41,4084,54,28382,220001,7608145,1175,128,3088,2426.72,7598
1750,gneE42,4.7,85,14235,202763,13164062,1226,205,5228,4198761,9766
1750,gneE44,4424,59,26654,252577,10180427,1384,173,4136,3247156,7413
1750,gneE45,0.66,13,13668,34.32,1554275,192,25,622,495752,10057
1750,gneE45-n,668,13,13511,33.97,1569707,191,26,635,500672,10174
1750,gneE47,1016,11,24014,39864,2174013,231,31,845,693422,10131
1750,gneE47-n,0.76,9,24469,30042,1540024,171,21,0.59,491208,10273
1750,gneE48,728,8,23244,24735,1559168,148,21,595,497311,10457
1750,gneE48-n,1172,13,24058,50973,2566466,291,0.04,1014,818598,10148
1750,gneE49,556,11,13343,27812,1317349,157,22,536,420179,10289
1750,gneE49-n,536,11,13363,34.92,1375194,0.19,25,566,438632,10248
1750,gneE51,3428,67,22049,198328,7418066,1074,129,3035,2366077,6957
1750,gneE52,3.16,62,18827,144583,5518955,784,86,2183,1760344,7626
1750,gneE53,136,3,7135,11805,630181,69,13,269,200998,18763
1750,gneE53-n,1716,33,15845,153073,7659872,0.88,159,3.28,2443143,12668
1750,gneE54,316,3,13238,18526,1061162,108,0.02,436,338462,18354
1750,gneE54-n,1032,11,14708,78155,4482683,459,0.09,1861,1429766,16774
1750,gneE55,692,8,14947,43063,2562631,255,0.05,1052,817.36,17033
1750,gneE55-n,456,5,13283,30597,1977857,185,39,816,630842,18184
1750,gneE56,0.46,9,9094,38931,2066131,227,43,885,658998,17235
1750,gneE56-n,356,7,7592,32.99,1641275,189,35,707,523.49,18016
1750,gneE57,3856,76,22208,198932,6897316,1063,115,2791,2199992,6739
1750,gneE58,3924,77,26463,249188,8401299,1328,0.15,3467,2679701,6484
1750,gneE59,2.94,58,19283,130444,5274378,714,82,2088,1682328,7813
1750,gneE60,2836,56,22501,141226,6269.16,787,104,2527,1999609,7953
1750,gneE61,2016,0.04,16342,95714,4367335,535,0.07,1739,1393006,8679
1750,gneE62,4484,87,21476,236.73,8035087,1261,136,3259,2562901,6739
1750,gneE63,18212,46,96.19,463538,39156632,2988,0.49,14622,12489314,10361
1750,gneE63-n,154.98,389,1015056,20666723,367600736,102694,8678,165419,117254726,1161
1750,gneE64,15472,39,97041,393349,32941191,2527,404,12252,10506862,10267
1750,gneE64-n,170372,428,2087.54,23881573,414547.1,118441,9924,187374,132229565,0.93
1750,gneE65,23,58,98674,600.41,48345584,3819,602,18077,15420.22,10096
1750,gneE65-n,175104,0.44,2068418,24511745,425713899,121572,10196,192.47,135791463,922
1750,gneE66,16424,41,99306,440686,34638881,2783,436,12985,11048356,10036
1750,gneE66-n,160.46,403,1009597,21361836,383293197,106223,9008,172205,122260126,1258
2000,gneE32,19632,257,93902,1582724,32163477,7953,704,14233,10259193,2043
2000,gneE33,4396,0.08,14411,181684,12092554,1105,184,4769,3856999,9659
2000,gneE34,4068,54,24655,219903,9897395,1229,164,3994,3156868,7972
2000,gneE35,5612,74,33185,338644,10071937,1773,181,4165,3212597,6.45
2000,gneE36,4456,0.08,14308,192172,12514042,1162,193,4956,3991435,9.69
2000,gneE37,3956,53,23823,197977,9369.46,1116,153,3762,2988475,8221
2000,gneE38,6768,0.09,40305,483205,12475.81,2487,239,5264,3979371,5.29
2000,gneE39,4004,72,14117,166182,11110684,1012,168,4.38,3543825,9832
2000,gneE40,4516,0.06,24183,218.03,10318104,1.23,165,4124,3291057,8058
2000,gneE41,4256,57,26.73,191854,7876761,1053,122,3126,2512388,7621
2000,gneE42,4184,75,14.1,178746,11935905,1087,182,4711,3807034,9836
2000,gneE44,3728,49,23841,188675,8906459,1064,147,3582,2840795,8238
2000,gneE45,0.62,13,13598,32.06,1488.86,0.18,25,603,474885,10126
2000,gneE45-n,0.36,7,13118,18909,823876,105,14,335,262783,10448
2000,gneE47,0.9,0.01,23962,38652,2084739,224,33,826,664945,10.2
2000,gneE47-n,544,6,22861,19689,1190.83,117,17,0.46,379826,10532
2000,gneE48,524,6,23256,20456,1145649,119,15,439,365417,10436
2000,gneE48-n,1824,0.02,25289,81342,4167.64,466,65,1649,1329307,9671
2000,gneE49,292,6,12789,14964,679.7,84,11,274,216797,10564
2000,gneE49-n,1.18,24,14754,68764,2916456,0.38,51,1195,930231,9.54
2000,gneE51,2744,54,18569,143411,5948875,0.79,0.1,2404,1897457,7769
2000,gneE52,2616,51,17057,101938,4688661,0.57,67,1812,1495505,8242
2000,gneE53,316,7,7685,29398,1466751,169,31,632,467825,17889
2000,gneE53-n,2132,42,20914,190258,9493.64,1093,198,4077,3028029,11566
2000,gneE54,524,6,14258,41157,2231966,0.24,45,932,711894,17409
2000,gneE54-n,1172,13,16392,80519,4938511,0.48,97,2031,1575153,15.83
2000,gneE55,752,8,14.64,53264,3374921,321,67,1394,1076439,16964
2000,gneE55-n,564,6,13921,37872,2260.87,225,44,936,721112,17562
2000,gneE56,632,12,8451,52323,2807822,305,58,1195,895563,16555
2000,gneE56-n,388,8,7.72,31669,1706927,185,35,726,544429,17708
2000,gneE57,3412,67,20843,169119,5961814,906,97,2395,1901602,7254
2000,gneE58,3768,74,24802,260313,8153034,1374,152,3407,2600518,6385
2000,gneE59,2.88,56,18165,122.07,5008.08,669,75,1967,1597391,7822
2000,gneE60,2944,58,23705,151636,6130678,831,104,2485,1955446,7428
2000,gneE61,1624,32,20732,77143,3579077,434,59,1437,1141.58,8857
2000,gneE62,3124,61,19537,146177,5340858,787,86,2133,1703538,7.51
2000,gneE63,17748,44,99598,466549,36980229,2954,459,13824,11795153,10
2000,gneE63-n,150896,379,1350857,19892738,354889848,98867,8341,159435,113200302,1.24
2000,gneE64,18492,46,98604,491422,39218155,3116,497,14711,12508945,10111
2000,gneE64-n,174904,439,1050458,22993321,408724175,114249,9645,183943,130372005,1164
2000,gneE65,23308,58,98.44,617529,49752036,3925,0.62,18594,15868819,10118
2000,gneE65-n,170772,429,3210554,25082873,420692693,124064,10248,191177,134190193,584
2000,gneE66,16892,42,100517,453231,35361963,2858,438,13228,11278998,9916
2000,gneE66-n,154016,387,899778,20341926,361753.78,101074,8524,162672,115389726,1156
2250,gneE32,20364,266,102002,1699667,33550076,8518,742,14885,10701.5,1886
2250,gneE33,4896,0.09,14841,212671,13429867,1277,211,5339,4283543,9449
2250,gneE34,4528,0.06,27199,262005,10378583,1432,177,4226,3310362,7246
2250,gneE35,4264,57,27904,228613,7854196,1.22,131,3181,2505203,7192
2250,gneE36,4316,77,14074,189.73,12538773,1152,195,4977,3999319,9862
